,Source,Target,l2d,jsd,Adaptivity,Source Accuracy,serving,finetune,max_voting_jsd_%,max_voting_Adaptivity_%,max_voting_l2d_%,max_voting_Source Accuracy_%
102,oppo_lua,oppo_rua,0.3593230004193135,0.0018384847019818418,11.0,0.8845770955085754,0.8270283937454224,0.8586361408233643,92.57268020708881,92.57268020708881,92.57268020708881,69.29510155316608
114,oppo_lla,oppo_rua,0.4107856634351709,0.0030590996781797324,11.0,0.8328357934951782,0.7302140593528748,0.8501741886138916,86.9573874950219,86.9573874950219,86.9573874950219,
90,oppo_rla,oppo_rua,0.3227626350734338,0.0019383985430670683,11.0,0.841791033744812,0.6898954510688782,0.858138382434845,72.28195937873357,72.28195937873357,72.28195937873357,
65,oppo_b,oppo_rua,0.7036573773406207,0.007503023445113017,11.0,0.9104477763175964,0.5679442286491394,0.8613738417625427,,,,82.93508562325766
29,dsads_la,oppo_rua,1.7250699607975053,0.08927198391386718,4.0,0.71875,0.4897959232330322,0.8255351185798645,,,,
17,dsads_ra,oppo_rua,1.7274281231958557,0.09320989343918468,4.0,0.7473958134651184,0.4873071312904358,0.8265306353569031,,,,
53,dsads_ll,oppo_rua,1.8683531308456267,0.10048077418569226,4.0,0.6979166865348816,0.4084121584892273,0.806620180606842,,,,
41,dsads_rl,oppo_rua,1.859684760014914,0.1068354856838819,4.0,0.6432291865348816,0.34121453762054443,0.7740169167518616,,,,
126,pamap_w,oppo_rua,1.2518489980283676,0.05233260150115018,7.0,0.809135377407074,0.31881532073020935,0.8486809134483337,,,,
5,dsads_t,oppo_rua,1.7820907163141346,0.10702449369993723,4.0,0.609375,0.3185664415359497,0.8245395421981812,,,,
150,pamap_a,oppo_rua,1.1516059179112317,0.05928646548178739,7.0,0.7226753830909729,0.29168739914894104,0.8325037360191345,,,,
138,pamap_c,oppo_rua,1.2421944058913095,0.05273134862730671,7.0,0.8988580703735352,0.14559482038021088,0.845694363117218,,,,47.82954998008761
78,oppo_rua,oppo_rla,0.3227626350734338,0.0019383985430670683,11.0,0.8975124359130859,0.6697362065315247,0.7822299599647522,84.05017921146953,84.05017921146953,84.05017921146953,53.006770211071284
103,oppo_lua,oppo_rla,0.4906724927661676,0.0017443059995800353,11.0,0.8845770955085754,0.5676953792572021,0.7931807041168213,89.72520908004779,89.72520908004779,89.72520908004779,
115,oppo_lla,oppo_rla,0.4585407067602222,0.004374298656255982,11.0,0.8328357934951782,0.5614733695983887,0.7919362783432007,77.83751493428913,77.83751493428913,77.83751493428913,
66,oppo_b,oppo_rla,0.8195083659392632,0.009805573090616321,11.0,0.9104477763175964,0.496515691280365,0.7762568593025208,,,,63.85902031063322
18,dsads_ra,oppo_rla,1.76639003584518,0.09771409401300024,4.0,0.7473958134651184,0.4873071312904358,0.7645595073699951,,,,
30,dsads_la,oppo_rla,1.7453354664922047,0.09364376120474399,4.0,0.71875,0.4641612768173218,0.7299651503562927,,,,
54,dsads_ll,oppo_rla,1.9012224503252513,0.10585707475608955,4.0,0.6979166865348816,0.44375312328338623,0.7538576126098633,,,,
42,dsads_rl,oppo_rla,1.8909394709675562,0.1118260480764246,4.0,0.6432291865348816,0.3461921215057373,0.7794922590255737,,,,
6,dsads_t,oppo_rla,1.8431480691023543,0.11617026946131603,4.0,0.609375,0.3081134855747223,0.7635639905929565,,,,
127,pamap_w,oppo_rla,1.1851976089966794,0.05535440736276366,7.0,0.809135377407074,0.3023892343044281,0.7180188894271851,,,,
151,pamap_a,oppo_rla,1.0974369796484915,0.06284594640386379,7.0,0.7226753830909729,0.2707814872264862,0.77675461769104,,,,
139,pamap_c,oppo_rla,1.2522046481340776,0.0579054233362737,7.0,0.8988580703735352,0.21901443600654602,0.7931807041168213,,,,57.02907208283552
79,oppo_rua,oppo_lua,0.3593230004193135,0.0018384847019818418,11.0,0.8975124359130859,0.8143354654312134,0.8504230976104736,93.68777379530067,95.16129032258065,93.68777379530067,80.80446037435284
116,oppo_lla,oppo_lua,0.40808329577538605,0.004326058704858131,11.0,0.8328357934951782,0.7887008190155029,0.8369835615158081,83.11429709279172,81.5810434090004,83.11429709279172,
67,oppo_b,oppo_lua,0.503648589710956,0.005801463784756209,11.0,0.9104477763175964,0.6525634527206421,0.8232951760292053,,74.39267224213461,,82.69613699721226
91,oppo_rla,oppo_lua,0.4906724927661676,0.0017443059995800353,11.0,0.841791033744812,0.6127426624298096,0.8514186143875122,72.89924332935087,,72.89924332935087,
31,dsads_la,oppo_lua,1.7084582326024733,0.08691004557699358,4.0,0.71875,0.5171726942062378,0.8310104608535767,,,,
19,dsads_ra,oppo_lua,1.7333877930705908,0.09106458800517948,4.0,0.7473958134651184,0.500248908996582,0.7919362783432007,,,,
55,dsads_ll,oppo_lua,1.8800569985636837,0.09885740420530795,4.0,0.6979166865348816,0.41214534640312195,0.8474365472793579,,,,
43,dsads_rl,oppo_lua,1.8809556035228476,0.10458933241553935,4.0,0.6432291865348816,0.350174218416214,0.8270283937454224,,,,
7,dsads_t,oppo_lua,1.798232592707144,0.10831145265509759,4.0,0.609375,0.32976606488227844,0.8088601231575012,,,,
128,pamap_w,oppo_lua,1.2778060308724122,0.05102607549427848,7.0,0.809135377407074,0.31657540798187256,0.8499253392219543,,,,
152,pamap_a,oppo_lua,1.1879250004571695,0.056170733890847827,7.0,0.7226753830909729,0.27974116802215576,0.8242906928062439,,,,
140,pamap_c,oppo_lua,1.2732976894855434,0.05197982920144348,7.0,0.8988580703735352,0.2665505111217499,0.8305127024650574,,,,40.26284348864994
104,oppo_lua,oppo_lla,0.40808329577538605,0.004326058704858131,11.0,0.8845770955085754,0.7332006096839905,0.8128421902656555,92.77180406212663,92.77180406212663,92.77180406212663,
80,oppo_rua,oppo_lla,0.4107856634351709,0.0030590996781797324,11.0,0.8975124359130859,0.6834245920181274,0.806620180606842,93.82716049382715,93.82716049382715,93.82716049382715,75.22899243329351
92,oppo_rla,oppo_lla,0.4585407067602222,0.004374298656255982,11.0,0.841791033744812,0.6553011536598206,0.8115978240966797,80.92393468737555,80.92393468737555,80.92393468737555,
68,oppo_b,oppo_lla,0.7126098630278827,0.010136358626088315,11.0,0.9104477763175964,0.5303633809089661,0.7906919121742249,,,,78.75348466746316
32,dsads_la,oppo_lla,1.5725204181645032,0.08579002015051418,4.0,0.71875,0.4995022416114807,0.7789945006370544,,,,
20,dsads_ra,oppo_lla,1.6158220643450683,0.09067867088027527,4.0,0.7473958134651184,0.49626681208610535,0.7822299599647522,,,,
56,dsads_ll,oppo_lla,1.7771161128939543,0.09917536617438376,4.0,0.6979166865348816,0.4758586287498474,0.7603285312652588,,,,
44,dsads_rl,oppo_lla,1.774471787656711,0.10648147950541437,4.0,0.6432291865348816,0.3382279872894287,0.7852165102958679,,,,
8,dsads_t,oppo_lla,1.7046804712637247,0.10446036072610122,4.0,0.609375,0.3282727599143982,0.7720258831977844,,,,
129,pamap_w,oppo_lla,1.100289643722318,0.04982751860795863,7.0,0.809135377407074,0.29865604639053345,0.7891985774040222,,,,
153,pamap_a,oppo_lla,1.0029955422231984,0.062375460356765916,7.0,0.7226753830909729,0.23743155598640442,0.7705326080322266,,,,
141,pamap_c,oppo_lla,1.1175962082008288,0.047397072265924475,7.0,0.8988580703735352,0.2195121943950653,0.8018915057182312,,,,35.18518518518518
101,oppo_lua,oppo_b,0.503648589710956,0.005801463784756209,11.0,0.8845770955085754,0.7914385199546814,0.8962170481681824,69.79291119076065,91.3779370768618,91.3779370768618,91.63679808841098
113,oppo_lla,oppo_b,0.7126098630278827,0.010136358626088315,11.0,0.8328357934951782,0.6784470081329346,0.8775510191917419,,86.77817602548785,86.77817602548785,
77,oppo_rua,oppo_b,0.7036573773406207,0.007503023445113017,11.0,0.8975124359130859,0.6605276465415955,0.9016923904418945,92.97092791716449,67.7021107128634,67.7021107128634,69.81282357626444
89,oppo_rla,oppo_b,0.8195083659392632,0.009805573090616321,11.0,0.841791033744812,0.5704330801963806,0.8949726223945618,84.926324173636,,,
16,dsads_ra,oppo_b,1.6705617544344264,0.07616388049840961,4.0,0.7473958134651184,0.5097063183784485,0.8745644688606262,,,,
28,dsads_la,oppo_b,1.6714623084233031,0.0733458342105025,4.0,0.71875,0.48830264806747437,0.8820308446884155,,,,
40,dsads_rl,oppo_b,1.779332527975316,0.08797092649486808,4.0,0.6432291865348816,0.42832255363464355,0.8852663040161133,,,,
52,dsads_ll,oppo_b,1.7607823429856018,0.082693666253095,4.0,0.6979166865348816,0.40990543365478516,0.8860129714012146,,,,
137,pamap_c,oppo_b,1.3232739846274117,0.04017804163545723,7.0,0.8988580703735352,0.39646589756011963,0.8862618207931519,,,,49.143767423337316
4,dsads_t,oppo_b,1.6996828937403938,0.08717778526442255,4.0,0.609375,0.34196117520332336,0.8827775120735168,,,,
149,pamap_a,oppo_b,1.2269801662134652,0.04049021817395684,7.0,0.7226753830909729,0.3220507800579071,0.8880040049552917,,,,
125,pamap_w,oppo_b,1.3848713151810874,0.041871428819737766,7.0,0.809135377407074,0.3185664415359497,0.8875062465667725,,,,
12,dsads_ra,dsads_t,0.5050513366216035,0.01797711242117366,4.0,0.7473958134651184,0.5026041865348816,0.564453125,56.30208333333333,,56.30208333333333,
24,dsads_la,dsads_t,0.778643163483422,0.02190546850150166,4.0,0.71875,0.4986979067325592,0.5826823115348816,,,,
